Spotify_ID,Sanatçı,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
64d1rUxfizSAOE9UbMnUZd,sezen aksu,14371911.0,71.0,"arabesk, turkish pop","arabesk, turkish pop",pop,turkish pop
4cMwyqmHCwJjRZ3frIVHTr,müslüm gürses,9734855.0,66.0,arabesk,arabesk,"halk, arabesk, pop, rock",arabesk
1Y2FwScblyMxpLTrNdfwyU,ahmet kaya,7597217.0,68.0,"arabesk, anatolian rock","arabesk, anatolian rock",,
6RTC1abMgBC7Krg6qJQHJh,duman,7584873.0,64.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
6LnJKrtFnTEGdbWQ2riWCL,ezhel,7109230.0,67.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop","trap, rap, pop","turkish trap, turkish hip hop"
51DevdOxIJin6DB1FXJpD1,uzi,6969070.0,77.0,"turkish hip hop, drill",melodic rap,rock,turkish trap
1GMwSpFzrLd12jUX15bHB6,blok3,6572128.0,76.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,
1CcZoULzFHa8Uhwo6OlQcp,semicenk,6287249.0,71.0,"turkish pop, arabesk, turkish hip hop","turkish pop, arabesk, turkish hip hop",,turkish pop
1dpqJqIuNqideTvmxBsSku,mabel matiz,5498768.0,65.0,turkish pop,turkish pop,,turkish pop
1KXTegXtnCPKXjRaX1llcD,sagopa kajmer,5450617.0,66.0,"turkish hip hop, rap","turkish hip hop, rap",rap,"turkish trap, turkish hip hop"
28Qbi9jTj2eej21P2mImZI,ceza,5245766.0,60.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
0V2oXYR7DtrZAEFeILRW2r,lvbel c5,5177422.0,76.0,"turkish hip hop, drill, turkish pop","turkish hip hop, drill, turkish pop",rap,"turkish trap, turkish hip hop"
5AboYJAlMb9FGadTTDKRoN,ebru gündeş,4317240.0,69.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish pop, arabesk, turkish folk"
2boacFGRX1WIo7NFS8B0F2,gazapizm,4216388.0,62.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,turkish hip hop
2yMN0IP20GOaN6q0p0zL5k,tarkan,4065672.0,71.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
6bGOmNBU1AOgttgOjh0ldf,ati242,4035597.0,72.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
4525TiJDbBD4mZJ7EZArT0,yildiz tilbe,3969300.0,65.0,"arabesk, turkish pop","arabesk, turkish pop",,
2AWUCT9xtcvkjpFq1ZgpPj,cem adrian,3775421.0,60.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish rock, turkish singer-songwriter"
4fR3W8XFXsqHB8f8IqEr1y,no.1,3694104.0,64.0,turkish hip hop,,r&b,turkish hip hop
1afML5pJuVr3ye8TGyYcV2,neşet ertaş,3266525.0,53.0,"arabesk, oyun havasi, karadeniz folk, anatolian rock","arabesk, oyun havasi, karadeniz folk, anatolian rock",halk,turkish folk
4XP7cGw4t8BqZ8Du5q3bHg,emir,3233736.0,63.0,turkish pop,turkish pop,,turkish pop
1Fg19vpUJpAAPFjnKaVYVW,reynmen,3206093.0,60.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,"turkish pop, turkish hip hop"
6CPZWzcKiOKkHn4L2XI4i2,cakal,3123449.0,63.0,"turkish hip hop, drill","turkish hip hop, drill",rap,
3eVuump9qyK0YCQQo4mKbc,barış manço,3098032.0,61.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk","rock, latin","turkish rock, turkish psych"
1ITjgqpqMDJlqZGAK3mlPQ,sefo,3021738.0,62.0,"turkish hip hop, turkish pop",,reggae,turkish trap
2kS0jWMkkFBL0mrl0VotD0,ben fero,3004179.0,58.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
7gobcoscOfsY0nOeqqFzvU,yüzyüzeyken konuşuruz,2962761.0,61.0,turkish pop,turkish pop,"indie, folk",turkish rock
74xBVPWYoSf5pvo5IkePRO,şebnem ferah,2773492.0,68.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
