isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir,MusicBrainz_ID,wikidata_id,muzik_turu (Wikidata),Popularity,foto_url
Sezen Aksu,Sezen Aksu,64d1rUxfizSAOE9UbMnUZd,14571379.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,kadın,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebd32dbe03236eda653b1a2bd0
Müslüm Gürses,Müslüm Gürses,4cMwyqmHCwJjRZ3frIVHTr,9859993.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,erkek,Şanlıurfa,,,,,https://i.scdn.co/image/ab6761610000e5eb27b3b0e9154e12899b9ff22e
Ahmet Kaya,,1Y2FwScblyMxpLTrNdfwyU,7754167.0,Turkish Sanat & Klasik,,"arabesk, anatolian rock",Person,erkek,Malatya,3c555d1c-e392-4bd5-abf2-a638a9712f03,Q401893,Protest müzik,68.0,https://i.scdn.co/image/ab6761610000e5eb8104de0cf19874d911fb335c
Duman,Duman,6RTC1abMgBC7Krg6qJQHJh,7655264.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb5eedfda3da66eb4591be4fa7
UZI,UZI,51DevdOxIJin6DB1FXJpD1,7205495.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, drill",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebfa27f66f319b25d81452b876
Ezhel,Ezhel,6LnJKrtFnTEGdbWQ2riWCL,7160811.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",solo,erkek,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb9450a4efe117513d3ba47ded
BLOK3,BLOK3,1GMwSpFzrLd12jUX15bHB6,6968323.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, turkish pop",solo,,Kocaeli,,,,,https://i.scdn.co/image/ab6761610000e5ebe7fa9e9863e296150e76e49d
Semicenk,Semicenk,1CcZoULzFHa8Uhwo6OlQcp,6384372.0,Turkish Pop,turkish pop,"turkish pop, arabesk, turkish hip hop",solo,erkek,Ordu,,,,,https://i.scdn.co/image/ab6761610000e5eba9debaf40b203ca6e3f9ac2b
Mabel Matiz,Mabel Matiz,1dpqJqIuNqideTvmxBsSku,5530254.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb61bbcbf13e5c22b2d8573f4a
Sagopa Kajmer,Sagopa Kajmer,1KXTegXtnCPKXjRaX1llcD,5495200.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, rap",solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb6eb76d24f4d5055fbf2642c3
