isim,Spotify_Isim,Spotify_ID,Takipci,EveryNoise_Tur,Spotify_Tur
Sinan Akçıl,Sinan Akçıl,31czVneIywpUwJTNOVviJx,537966,turkish pop,"turkish pop, t-pop"
Burcu Güneş,Burcu Güneş,7EJB9F3fv0x2ezht730D7F,604630,turkish pop,"turkish pop, arabesk"
Ozan Doğulu,Ozan Doğulu,6xLv41SHPrVVfvyGd1M7ut,504416,turkish pop,"turkish pop, t-pop"
Gökhan Tepe,Gökhan Tepe,6C2dcLMiM7ReleaXaiHsw5,291776,turkish pop,"turkish pop, arabesk"
Fettah Can,Fettah Can,17fJCykpa2EqIioh0zamN9,364580,turkish pop,turkish pop
Bahadır Tatlıöz,Bahadır Tatlıöz,2cJHtXWQuFgxQ0GkpE7dNR,374390,turkish pop,"turkish pop, karadeniz folk"
Atiye,Atiye,56g1u3Bu0S5072aksxyBei,583917,turkish pop,"turkish pop, t-pop"
Emre Kaya,Emre Kaya,6f7gOUZno2LjhNgyXWg0fE,182562,turkish pop,turkish pop
Murat Dalkılıç,Murat Dalkılıç,6dDaXbE1caD65TONToYXYx,1237513,turkish pop,"turkish pop, t-pop"
Berkay,Berkay,5juVQV1lGuA4o5IrLwpZar,628991,turkish pop,"turkish pop, arabesk, t-pop"
Bengü,Bengü,6wxh9aTFgTS4OiyYlnQBq6,1827450,turkish pop,"turkish pop, arabesk, t-pop"
Ziynet Sali,Ziynet Sali,7zVYyYhGZxvPHPuhzReYHP,1532517,turkish pop,"turkish pop, arabesk"
Aynur Aydın,Aynur Aydın,27TH57uXZezzxdlmbbyWQU,468354,turkish pop,"turkish pop, t-pop"
Harun Kolçak,Harun Kolçak,65DHllTFchsixkxABusOcR,463043,turkish singer-songwriter,turkish pop
Tuğba Yurt,Tuğba Yurt,1063YgLGlWU0JM26pOnrnv,844757,turkish pop,"turkish pop, t-pop"
Soner Sarıkabadayı,Soner Sarıkabadayı,4T83el9VQDI0zOyU9zcYNq,1100541,turkish pop,"turkish pop, t-pop"
Cem Belevi,Cem Belevi,5yhN4qXpv9cghmJglovvmg,521318,turkish pop,turkish pop
Bora Duran,Bora Duran,0W0qg2fjQVk63h44Zdn4hI,214966,turkish pop,turkish pop
Betül Demir,Betül Demir,6aMuEI7xrBQvb2z0lXWwCR,283130,turkish pop,turkish pop
Özgün,Özgün,2DJNQjrMqbyGFax9mgHm3f,482816,turkish pop,"turkish pop, t-pop"
