isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir
Sezen Aksu,Sezen Aksu,64d1rUxfizSAOE9UbMnUZd,14571379.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,kadın,İstanbul
Müslüm Gürses,Müslüm Gürses,4cMwyqmHCwJjRZ3frIVHTr,9859993.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,erkek,Şanlıurfa
Duman,Duman,6RTC1abMgBC7Krg6qJQHJh,7655264.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop",grup,grup,İstanbul
UZI,UZI,51DevdOxIJin6DB1FXJpD1,7205495.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, drill",solo,,İstanbul
Ezhel,Ezhel,6LnJKrtFnTEGdbWQ2riWCL,7160811.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, turkish pop",solo,erkek,Ankara
BLOK3,BLOK3,1GMwSpFzrLd12jUX15bHB6,6968323.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, turkish pop",solo,,Kocaeli
Semicenk,Semicenk,1CcZoULzFHa8Uhwo6OlQcp,6384372.0,Turkish Pop,turkish pop,"turkish pop, arabesk, turkish hip hop",solo,erkek,Ordu
Mabel Matiz,Mabel Matiz,1dpqJqIuNqideTvmxBsSku,5530254.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
Sagopa Kajmer,Sagopa Kajmer,1KXTegXtnCPKXjRaX1llcD,5495200.0,Turkish Hip Hop & Trap,turkish trap,"turkish hip hop, rap",solo,erkek,İstanbul
Lvbel C5,Lvbel C5,0V2oXYR7DtrZAEFeILRW2r,5361439.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, turkish pop, drill",solo,,İstanbul
Ceza,Ceza,28Qbi9jTj2eej21P2mImZI,5290315.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,erkek,Üsküdar
Ebru Gündeş,Ebru Gündeş,5AboYJAlMb9FGadTTDKRoN,4431090.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop",solo,kadın,İstanbul
Gazapizm,Gazapizm,2boacFGRX1WIo7NFS8B0F2,4233770.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",solo,erkek,Elazığ
Ati242,Ati242,6bGOmNBU1AOgttgOjh0ldf,4176730.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Tarkan,Tarkan,2yMN0IP20GOaN6q0p0zL5k,4127643.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
Yıldız Tilbe,Yıldız Tilbe,4525TiJDbBD4mZJ7EZArT0,4068707.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,kadın,İstanbul
Cem Adrian,Cem Adrian,2AWUCT9xtcvkjpFq1ZgpPj,3782304.0,Turkish Rock,turkish singer-songwriter,"arabesk, turkish pop",solo,erkek,Edirne
No.1,No.1,4fR3W8XFXsqHB8f8IqEr1y,3729067.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Neşet Ertaş,Neşet Ertaş,1afML5pJuVr3ye8TGyYcV2,3276360.0,Turkish Folk,bozlak,"arabesk, oyun havasi, karadeniz folk, anatolian rock",solo,,Kırşehir
Emir Can İğrek,Emir Can İğrek,4XP7cGw4t8BqZ8Du5q3bHg,3244635.0,Turkish Rock,turkish alt pop,turkish pop,solo,erkek,İstanbul
Reynmen,Reynmen,1Fg19vpUJpAAPFjnKaVYVW,3218347.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish pop, turkish hip hop",solo,erkek,İstanbul
Dolu Kadehi Ters Tut,Dolu Kadehi Ters Tut,0PhqM7UAxtvWYi5j4MwxSl,3201269.0,Turkish Rock,turkish alt pop,,grup,grup,İstanbul
