isim,Spotify_ID,Followers,Popularity,Spotify_Tur,EveryNoise_Tur
Duman,6RTC1abMgBC7Krg6qJQHJh,7613575,63,"anatolian rock, turkish pop",anadolu rock
Barış Manço,3eVuump9qyK0YCQQo4mKbc,3104914,61,"anatolian rock, arabesk, turkish pop",anadolu rock
Cem Karaca,1lIbZfJvMQRqzhtCQsg5EI,2032430,55,"anatolian rock, arabesk, turkish pop",anadolu rock
Haluk Levent,1UV3ii5FWWXF3jkZVeA2bb,1622244,52,"anatolian rock, arabesk, turkish pop",anadolu rock
Selda Bağcan,2NGRETzxjeN4b9o3OGY6Yn,1561105,55,"anatolian rock, arabesk",anadolu rock
Kâzım Koyuncu,03YhQQYWzaAU3HAQAJzIHG,1168798,52,"anatolian rock, arabesk, karadeniz folk, oyun havasi",anadolu rock
Barış Akarsu,0rHmlPHC63IGBTrtQEdDw6,1006479,51,"anatolian rock, karadeniz folk, turkish pop",anadolu rock
Gülden Karaböcek,2wioAsnSZ6JmA6I7Y7PDkc,883059,53,"anatolian rock, arabesk",anadolu rock
Feridun Düzağaç,7MZj0XxqxlCZPj6JsMQq0Z,839316,46,"anatolian rock, turkish pop",anadolu rock
Edip Akbayram,0oFiWQjHNvksJlD0aWzBZM,827582,51,"anatolian rock, arabesk, karadeniz folk, turkish pop",anadolu rock
Erkin Koray,4o3Nv2BAyoZkyGaRXv4rT3,818900,50,"anatolian rock, arabesk",anadolu rock
Kıraç,4XYD8wP6f1sfLtWfrY1luF,690554,55,"anatolian rock, arabesk, turkish pop",anadolu rock
Fikret Kızılok,6RXvZtTyld421VPmJtLqkL,427734,45,"anatolian rock, arabesk, turkish pop",anadolu rock
Murat Göğebakan,2TUYtKan3NuDy9JexzL4db,366921,54,"anatolian rock, arabesk",anadolu rock
Özdemir Erdoğan,691svprNZf0oJTi1L0eYy6,251299,49,"anatolian rock, arabesk, turkish pop",anadolu rock
Murat Kekilli,1av8oluskzg2mOBajdzRI9,234033,44,"anatolian rock, arabesk, turkish pop",anadolu rock
