isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
Alper Ayyıldız,"Adana, Adana, Turkey",,solo,Adana,2jaVCQfZPwNR2Z7Y7grFdA,105531.0,40.0,turkish hip hop,turkish hip hop,,turkish hip hop
Apaşlar,,,solo,Adana,4yJH4Vrqxf8V96aUvENFVc,812.0,5.0,anatolian rock,anatolian rock,rock,
Ayşe Tütüncü,"Adana, Adana, Turkey",,solo,Adana,4bIqQ0WRwvBRe5mDvlXXN1,118.0,1.0,anatolian rock,free jazz,,turkish jazz
Biricik,"Adana, Adana, Turkey",,solo,Adana,65JPo2J7wXf1LbaCetjfe9,6393.0,10.0,arabesk,arabesk,,
Cem Karaca & Apaşlar,,,solo,Adana,5h35dlZ2RnO3dc6a29uHIF,1185.0,6.0,anatolian rock,anatolian rock,,
Erol Büyükburç,"Adana, Adana, Turkey",,solo,Adana,5Mi0CfVFTACW7wclXpIA6G,14420.0,27.0,"anatolian rock, turkish pop","anatolian rock, turkish pop, tango",pop,turkish psych
Ferdi Tayfur,"Adana, Adana, Turkey",,solo,Adana,6WLkcqDXHgfe80TNMH1C5z,1425029.0,57.0,arabesk,arabesk,,arabesk
Feridun Düzağaç,"Adana, Turkey",,solo,Adana,7MZj0XxqxlCZPj6JsMQq0Z,838876.0,46.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
Groza,"Adana, Adana, Turkey",,solo,Adana,4vexLDbfehpgMFreLkeatb,1355.0,13.0,turkish hip hop,black metal,,turkish metal
Grup Yorum,,,solo,Adana,4FjxqqOXKI1eGLrYn3GUq4,484943.0,32.0,"karadeniz folk, anatolian rock, arabesk","karadeniz folk, anatolian rock, arabesk","özgün, rock",turkish folk
Halil Koçak,"Adana, Adana, Turkey",,solo,Adana,5HiBBvpQCpaRK0ERq1gqsH,1752.0,20.0,"turkish pop, oyun havasi","turkish pop, oyun havasi",,deep turkish pop
Haluk Levent,"Adana, Turkey",,solo,Adana,1UV3ii5FWWXF3jkZVeA2bb,1621016.0,53.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",rock,"turkish pop, turkish rock"
Kardaşlar,,,solo,Adana,5Nb1W1vGOBrPwwwVzjYsk6,3328.0,28.0,anatolian rock,anatolian rock,rock,
KÖFN,,,solo,Adana,3ZKkHPTZTq8z8pokwZiInd,939245.0,50.0,turkish pop,turkish pop,,turkish alt-pop
Lokomotif,,,solo,Adana,7IBgaEIjhKA5Xfixitaatr,80.0,5.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Merdiven,,,solo,Adana,4BowcvNyXtXWPryBpwNdM1,2735.0,20.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",metal,
