isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Alper Yıldırım,,"Ankara, Ankara, Turkey",solo,Ankara
Asphodel,,,solo,Ankara
Locomotive Speaker,,,solo,Ankara
Karanlık,,"Ankara, Ankara, Turkey",solo,Ankara
Cosmic Funeral,,,solo,Ankara
Servet Dilgeş,,"Ankara, Ankara, Turkey",solo,Ankara
Hacı Bayram-ı Veli,,,solo,Ankara
wouwiuwa,,"Ankara, Ankara, Turkey",solo,Ankara
milankundura,,"Ankara, Ankara, Turkey",solo,Ankara
Halil Soyuer,,,solo,Ankara
Jamie Congedo,,"Ankara, Ankara, Turkey",solo,Ankara
Ave Sanguine,,"Ankara, Ankara, Turkey",grup,Ankara
uuR,,"Ankara, Ankara, Turkey",solo,Ankara
Burhan Erdemir,,"Ankara, Ankara, Turkey",solo,Ankara
Cyanopica,,"Ankara, Ankara, Turkey",solo,Ankara
Ali Cemal Çetinkaya,"Mazgirt, Tunceli, Turkey",,solo,Tunceli
Atilla İçli,"Ankara, Ankara, Turkey",,solo,Ankara
Mehmet Erbulan,"Çorum, Çorum, Turkey",,solo,Çorum
Arman Aydin,,"Ankara, Ankara, Turkey",solo,Ankara
Silence and Agony,,,solo,Ankara
Nilgün Özer,,"Ankara, Ankara, Turkey",solo,Ankara
Fae Kin,,"Ankara, Ankara, Turkey",solo,Ankara
Armando,"Artvin, Artvin, Turkey",,solo,Artvin
Lin Pesto,,"Ankara, Ankara, Turkey",solo,Ankara
İlkim Oulanem,,"Ankara, Ankara, Turkey",solo,Ankara
Demonic Forest,,,solo,Ankara
Noise Nest,,"Ankara, Ankara, Turkey",solo,Ankara
Exitpink,,"Ankara, Ankara, Turkey",solo,Ankara
Urværk,,,solo,Ankara
Dijital Kayısı,,"Ankara, Ankara, Turkey",solo,Ankara
Okay Vivian,,"Ankara, Ankara, Turkey",solo,Ankara
Arcade Ghoul,,"Ankara, Ankara, Turkey",solo,Ankara
Joey Marshall,,"Ankara, Ankara, Turkey",solo,Ankara
Literally Anything Before Bros,,"Ankara, Ankara, Turkey",grup,Ankara
Neon Jisatsu,,"Ankara, Ankara, Turkey",grup,Ankara
Bela Böcek,,"Ankara, Ankara, Turkey",solo,Ankara
Armağan Arslan,"Kırıkkale, Kırıkkale, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Batu Çetin,,"Ankara, Ankara, Turkey",solo,Ankara
Bereavement,,,solo,Ankara
Cannibalism,,,solo,Ankara
Molested Divinity,,,solo,Ankara
Womb of Decay,,,solo,Ankara
Erkin Öztürk,,"Ankara, Ankara, Turkey",solo,Ankara
Decimation,,,solo,Ankara
Strung,,"Ankara, Ankara, Turkey",solo,Ankara
Dozi Ozovski,,"Ankara, Ankara, Turkey",solo,Ankara
Arslanbek Sultanbekov,,"Ankara, Ankara, Turkey",solo,Ankara
Yunus Ayyildiz,,"Ankara, Ankara, Turkey",solo,Ankara
Liminal Objects,,"Ankara, Ankara, Turkey",solo,Ankara
DMLLL,"Kütahya, Kütahya, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Abdullah Firat,,"Ankara, Ankara, Turkey",solo,Ankara
Ulaş Selvi,,"Ankara, Ankara, Turkey",solo,Ankara
Atak,,"Ankara, Ankara, Turkey",solo,Ankara
Şiirbaz,"Samsun, Samsun, Turkey","Ankara, Ankara, Turkey",solo,Ankara
BDG,,"Ankara, Ankara, Turkey",grup,Ankara
Ünsal Özata,,"Ankara, Ankara, Turkey",solo,Ankara
One More Lie,,,solo,Ankara
Hasan Hüseyin Korkmazgil,,,solo,Ankara
Hâfız Burhan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Peter Murphy,"Northampton, Northamptonshire, United Kingdom","Ankara, Ankara, Turkey",solo,Ankara
