isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Adnan Tunalı,"Adana, Adana, Turkey",,solo,Adana
Ahmet Hoşsöyler,"Adana, Adana, Turkey",,solo,Adana
Ahmet Çadırcı,"Adana, Adana, Turkey",,solo,Adana
Ali Çifteci,"Adana, Adana, Turkey","Deventer, Overijssel, Netherlands",solo,Adana
Ali Özgentürk,"Adana, Adana, Turkey",,solo,Adana
Ali Şen,"Adana, Turkey",,solo,Adana
Alper Atak,"Adana, Adana, Turkey",,solo,Adana
Alper Ayyıldız,"Adana, Adana, Turkey",,solo,Adana
Altan Gördüm,"Adana, Adana, Turkey",,solo,Adana
Anatolik,"Adana, Adana, Turkey",,grup,Adana
Antitakva,"Adana, Adana, Turkey",,grup,Adana
Arif Keskiner,"Osmaniye, Adana, Turkey",,solo,Adana
Ayhan Sonyürek,"Adana, Adana, Turkey",,solo,Adana
Ayhan Taş,"Adana, Adana, Turkey",,solo,Adana
Aytaç Arman,"Adana, Adana, Turkey",,solo,Adana
Ayşe Hatun Önal,"Adana, Turkey",,solo,Adana
Ayşe Tütüncü,"Adana, Adana, Turkey",,solo,Adana
Açelya Akkoyun,"Adana, Adana, Turkey",,solo,Adana
Bahadır Boysal,"Adana, Adana, Turkey",,solo,Adana
Banu Sıvacı,"Adana, Adana, Turkey",,solo,Adana
Banu Ölmez,"Adana, Adana, Turkey",,solo,Adana
Barış Baran,"Adana, Adana, Turkey",,solo,Adana
Bayhan,"Adana, Adana, Turkey",,solo,Adana
Bilal İnci,"Adana, Adana, Turkey",,solo,Adana
Biricik,"Adana, Adana, Turkey",,solo,Adana
Can Etili,"Adana, Adana, Turkey",,solo,Adana
Caner Cindoruk,"Adana, Adana, Turkey",,solo,Adana
Celal İnce,"Adana, Adana, Turkey",,solo,Adana
Cemil Şahbaz,"Adana, Turkey",,solo,Adana
Cengis Temuçin Asiltürk,"Adana, Adana, Turkey",,solo,Adana
Cengiz Sezici,"Adana, Turkey",,solo,Adana
Cenk Çelik,"Adana, Adana, Turkey",,solo,Adana
Cihan Ercan,"Adana, Adana, Turkey",,solo,Adana
Cihangir Ceyhan,"Adana, Adana, Turkey",,solo,Adana
Classlog,"Adana, Adana, Turkey",,solo,Adana
Cumhur Sarı,"Adana, Adana, Turkey",,solo,Adana
Demir Karahan,"Adana, Turkey",,solo,Adana
Dirty,"Adana, Adana, Turkey",,solo,Adana
Djanan Turan,"Adana, Adana, Turkey","London, Greater London, United Kingdom",solo,Adana
Dolunay Soysert,"Adana, Turkey",,solo,Adana
Doğu Akdeniz,,"Adana, Adana, Turkey",grup,Adana
Emel Tümer,"Adana, Turkey",,solo,Adana
Erdal Cindoruk,"Adana, Adana, Turkey",,solo,Adana
Erkan Meriç,"Adana, Adana, Turkey",,solo,Adana
Erman Konuklu,,"Adana, Adana, Turkey",solo,Adana
Erol Afşin,"Adana, Adana, Turkey",,solo,Adana
Erol Büyükburç,"Adana, Adana, Turkey",,solo,Adana
Faruk Panter,"Adana, Adana, Turkey",,solo,Adana
Fate Fat,"Adana, Adana, Turkey",,solo,Adana
Ferdi Tayfur,"Adana, Adana, Turkey",,solo,Adana
Feridun Düzağaç,"Adana, Turkey",,solo,Adana
Ferit Aktuğ,"Adana, Adana, Turkey",,solo,Adana
Fester Abdü,"Adana, Adana, Turkey",,solo,Adana
Fuego,,"Adana, Adana, Turkey",solo,Adana
Fırat Sobutay,"Adana, Adana, Turkey",,solo,Adana
Gazanfer Ündüz,"Adana, Adana, Turkey",,solo,Adana
Groza,"Adana, Adana, Turkey",,solo,Adana
Gökalp Dilci,,"Kozan, Adana, Turkey",solo,Adana
Görkem Sevindik,"Adana, Adana, Turkey",,solo,Adana
Gülsen Tuncer,"Adana, Turkey",,solo,Adana
Güven Şengil,"Adana, Adana, Turkey",,solo,Adana
Haci Tekbilek,"Adana, Adana, Turkey",,solo,Adana
Hakan Ali Toker,"Adana, Adana, Turkey",,solo,Adana
Hakkı Kıvanç,"Adana, Adana, Turkey",,solo,Adana
