isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Alper Yıldırım,,"Ankara, Ankara, Turkey",solo,Ankara
Asphodel,,,solo,Ankara
Locomotive Speaker,,,solo,Ankara
Karanlık,,"Ankara, Ankara, Turkey",solo,Ankara
Cosmic Funeral,,,solo,Ankara
Diken,"İstanbul, İstanbul, Turkey","Ankara, Ankara, Turkey",grup,Ankara
Taylan Ayık,,,solo,Ankara
Grotesque Ceremonium,,"Ankara, Ankara, Turkey",solo,Ankara
Servet Dilgeş,,"Ankara, Ankara, Turkey",solo,Ankara
Hacı Bayram-ı Veli,,,solo,Ankara
wouwiuwa,,"Ankara, Ankara, Turkey",solo,Ankara
milankundura,,"Ankara, Ankara, Turkey",solo,Ankara
Halil Soyuer,,,solo,Ankara
Jamie Congedo,,"Ankara, Ankara, Turkey",solo,Ankara
Ave Sanguine,,"Ankara, Ankara, Turkey",grup,Ankara
Ohol Yeg,,,solo,Ankara
uuR,,"Ankara, Ankara, Turkey",solo,Ankara
Burhan Erdemir,,"Ankara, Ankara, Turkey",solo,Ankara
Cyanopica,,"Ankara, Ankara, Turkey",solo,Ankara
Ali Cemal Çetinkaya,"Mazgirt, Tunceli, Turkey",,solo,Ankara
Atilla İçli,"Ankara, Ankara, Turkey",,solo,Ankara
Cemil Demirsipahi,"Beşiktaş, İstanbul, Turkey",,solo,Ankara
Mehmet Erbulan,"Çorum, Çorum, Turkey",,solo,Ankara
Arman Aydin,,"Ankara, Ankara, Turkey",solo,Ankara
Ohol Yeg,,"Ankara, Ankara, Turkey",solo,Ankara
Cosmic Funeral,,,solo,Ankara
Silence and Agony,,,solo,Ankara
Nilgün Özer,,"Ankara, Ankara, Turkey",solo,Ankara
Fae Kin,,"Ankara, Ankara, Turkey",solo,Ankara
Baneva,"Konya, Konya, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Armando,"Artvin, Artvin, Turkey",,solo,Ankara
Lin Pesto,,"Ankara, Ankara, Turkey",solo,Ankara
İlkim Oulanem,,"Ankara, Ankara, Turkey",solo,Ankara
Demonic Forest,,,solo,Ankara
Noise Nest,,"Ankara, Ankara, Turkey",solo,Ankara
Exitpink,,"Ankara, Ankara, Turkey",solo,Ankara
Urværk,,,solo,Ankara
Urværk,,"Ankara, Ankara, Turkey",grup,Ankara
Exitpink,,,solo,Ankara
Dijital Kayısı,,"Ankara, Ankara, Turkey",solo,Ankara
Oğuz Yılmaz,,,solo,Ankara
Okay Vivian,,"Ankara, Ankara, Turkey",solo,Ankara
Arcade Ghoul,,"Ankara, Ankara, Turkey",solo,Ankara
Joey Marshall,,"Ankara, Ankara, Turkey",solo,Ankara
Literally Anything Before Bros,,"Ankara, Ankara, Turkey",grup,Ankara
Neon Jisatsu,,"Ankara, Ankara, Turkey",grup,Ankara
Arcade Ghoul,,,solo,Ankara
melted,,"Ankara, Ankara, Turkey",grup,Ankara
Bela Böcek,,"Ankara, Ankara, Turkey",solo,Ankara
Meshum,,"Ankara, Ankara, Turkey",solo,Ankara
Armağan Arslan,"Kırıkkale, Kırıkkale, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Batu Çetin,,"Ankara, Ankara, Turkey",solo,Ankara
Bereavement,,,solo,Ankara
Cannibalism,,,solo,Ankara
Cenotaph,,,solo,Ankara
Drain of Impurity,,,solo,Ankara
Molested Divinity,,,solo,Ankara
Womb of Decay,,,solo,Ankara
Erkin Öztürk,,"Ankara, Ankara, Turkey",solo,Ankara
Cenotaph,,,solo,Ankara
Decimation,,,solo,Ankara
Raven Woods,,,solo,Ankara
Rektal Tuşe,,,solo,Ankara
Strung,,"Ankara, Ankara, Turkey",solo,Ankara
Cinuty,,"Ankara, Ankara, Turkey",solo,Ankara
