isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
Alper Ayyıldız,"Adana, Adana, Turkey",,solo,Adana,2jaVCQfZPwNR2Z7Y7grFdA,105531.0,40.0,turkish hip hop,turkish hip hop,,turkish hip hop
Apaşlar,,,solo,Adana,4yJH4Vrqxf8V96aUvENFVc,812.0,5.0,anatolian rock,anatolian rock,rock,
Artz,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",solo,Adana,2QU0UNvQvEZ2fuRUhkUNq4,249133.0,47.0,turkish hip hop,mizrahi,,"turkish trap, turkish hip hop"
Atilla Taş,"Ceyhan, Adana, Turkey","İstanbul, İstanbul, Turkey",solo,Adana,0v6XLbkgDgcHEPfytOB8IW,8021.0,23.0,"turkish pop, oyun havasi","turkish pop, oyun havasi",,deep turkish pop
Ayşe Dinçer,"Mersin, Mersin, Turkey",,solo,Adana,10hvYFe8uqgX8uoarTU3LP,15853.0,27.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,arabesk
Ayşe Tütüncü,"Adana, Adana, Turkey",,solo,Adana,4bIqQ0WRwvBRe5mDvlXXN1,118.0,1.0,anatolian rock,free jazz,,turkish jazz
Aşık Ali Nurşani,"Islahiye, Gaziantep, Turkey",,solo,Adana,0Bh5y2ZUJpRka7h6lrc6Mp,12365.0,25.0,arabesk,arabesk,,turkish folk
Bergen,"Mersin, Mersin, Turkey",,solo,Adana,0OjAaymO59uGiFmfpJrQpl,1830809.0,53.0,arabesk,"ballet, classical, orchestral, expressionism",,arabesk
Biricik,"Adana, Adana, Turkey",,solo,Adana,65JPo2J7wXf1LbaCetjfe9,6393.0,10.0,arabesk,arabesk,,
Cem Karaca & Apaşlar,,,solo,Adana,5h35dlZ2RnO3dc6a29uHIF,1185.0,6.0,anatolian rock,anatolian rock,,
Demir Demirkan,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",solo,Adana,0ONcicRZwAgDDZyeWrLia3,230934.0,37.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Diken,,,solo,Adana,14sOXo6iCym0ZP1oWuLlGg,9052.0,14.0,anatolian rock,,,turkish metal
Direc-t,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",grup,Adana,0ubHokjZTIMHUJWPML8N0x,13631.0,30.0,anatolian rock,anatolian rock,"alternatif, rock","turkish rock, turkish metal"
Erdem Yener,"İskenderun, Turkey","İstanbul, Turkey",solo,Adana,1JXIV2lL6Yd30xG7kOfI1n,21697.0,13.0,anatolian rock,anatolian rock,,turkish rock
