isim,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres
'nightcall,5YlnfKyVPwUfNoJF6fbery,'NightCall,33.0,0.0,
0-xcopy,5ikvrzGiFUk4j3IXk6zBTR,0-xcopy,65.0,0.0,
100 derece,4OM5r50uH0v7Radtsp4JIq,100 Derece,4009.0,8.0,punk
100°c,7DEUyk5Su4KAn1UlxJ84bA,100°C,896.0,3.0,
110,0Gc0Qkk85HMLh8oskS7dv8,110,61361.0,30.0,anatolian rock
123,1cy1oWKlBfDuxBvo9ZiodY,123,14742.0,13.0,
1945,2k0UdE4F3zTFdDfUUhFGK6,1945,309.0,0.0,
2/5bz,6Sjr7NHj4MOeIFdHIfRheX,2/5bz,104.0,0.0,"electroacoustic, experimental, avant-garde"
21. peron,5Z7ZS3IjRE9aKEEKJzWc7A,21. Peron,1095.0,3.0,anatolian rock
21.Peron,1MYemdkPbyQtqSZoI38MqF,21.Peron,2115.0,7.0,"anatolian rock, progressive rock, psychedelic rock"
24pitho,5V593eIHiHXpfZGWpgV84c,24Pitho,393.0,9.0,turkish hip hop
2rule,3qEU15QUO4f9ZTXtRiXZrX,2Rule,6.0,1.0,
3 ozan,2wdahfzAhUbcrkbxFCBtcj,3 Ozan,58.0,0.0,"anatolian rock, psychedelic rock"
330,00b6xdFmvWmoLpJAoNZ04s,330,287.0,0.0,
3pillie,2weWfVL0xj5ceW9iubSltS,3pillie,1226.0,7.0,
4 vokal,5wDghAKI3HMDYVt9alHIqt,4 Vokal,1154.0,5.0,karadeniz folk
4 yüz,7Iusq7I3YKNa1MnCCrsaqp,4 Yüz,21310.0,34.0,"turkish pop, t-pop"
43.75,5agGkH1unV5CJ5WiEp961v,43.75,250.0,4.0,"anatolian rock, psychedelic rock"
4ykt,0tfGkevJaUdxoGcjaaM6J7,4YKT,4.0,0.0,
5 adım,04eZGVPAV1L0iSFin5z7xZ,5 Adım,1881.0,10.0,anatolian rock
51,0Fzez7DXH60xdLhLzKDjz9,51,269.0,1.0,
6 saat,0huWFwwHl4vMIqLLYlRExx,6 Saat,830.0,2.0,anatolian rock
6.cadde,474vCyU4vJtglMQYD7Nffb,6.Cadde,2757.0,23.0,turkish pop
6zm,7LB4wq9odJ0CzZXr0HYpIJ,6zm,141.0,0.0,experimental
888hz,48Rx7rQqiZOX7GcxwSqxUy,888hz,66.0,1.0,acid techno
9 canlı,7yUbh3chDbtC5mvpkWSqy0,9 Canlı,4007.0,33.0,"turkish pop, turkish hip hop"
9vss,0HOAgcSdWdrqcP9J90QcyJ,9VSS,76.0,0.0,
a capella boğaziçi,6nZc3ZtjUWvKqyKfbpFBwo,A Capella Boğaziçi,3307.0,9.0,
A Journey Down the Well,5lpxCw936kONFDKZLk1BCk,A Journey Down the Well,66.0,0.0,"post-rock, experimental, neoclassical"
a thousand allies,46RRNIEi4zw18YueGpHG4z,A Thousand Allies,1455.0,7.0,"progressive metal, doom metal"
A-Tek,5Y6Cxw1AJ2k6SgskFrSlSU,A-Tek,152.0,0.0,
a.s.d.,5LzARIAE7vzz7uXPkj6u7n,A.S.D.,69.0,0.0,
Aaron Kohen,0nQqB5M8GjigeZ2ayCgwAP,Aaron Kohen,88.0,0.0,
abbas karacan,2xqdSNiY1Xxr9Dv7eopHt3,Abbas Karacan,5.0,0.0,
abdal haluk tolga i̇lhan,4gKnkkkVb1mF3FobKnpaod,Abdal Haluk Tolga İlhan,10970.0,35.0,"arabesk, karadeniz folk"
abdullah arslan,6dhhOHp9EU6p7boIMEivQG,Abdullah Arslan,4.0,0.0,
Abdullah Şahin,1iWaHwYX1m0V7e0EN1gFp9,Abdullah Şahin,3.0,0.0,
abdurrahman kızılay,11XTk9KemdqKRevFujpBqw,Abdurrahman Kizilay,1396.0,16.0,
Abdurrahman Önül,4wfR2P1uLr5g3hgvcwkcjt,Abdurrahman Önül,68447.0,48.0,
Abdurrahman Tarikçi,01gTMxCct1szeaNRF4IHb5,Abdurrahman Tarikçi,2857.0,10.0,
abidin biter,1aNKfdSnF0q8la2P8qgTzN,Abidin Biter,13052.0,26.0,"arabesk, oyun havasi"
abidin özşahin,2MCSbUGUVvTp4qw3UBRMrW,Abidin Özşahin,319.0,0.0,turkish pop
Abolish,41V9CRBaShInUKrEL3B3k0,Abolish,599.0,0.0,death metal
abugat,2KPINxWCVBb9yxO8xKtdFh,Abugat,83153.0,51.0,turkish hip hop
abuzer karakoç,3GOXco1U241ehr1wDpXEai,Abuzer Karakoç,1626.0,6.0,karadeniz folk
Accursed,356awqxICch0mFoHgwhF2A,Accursed,421.0,2.0,"melodic death metal, death metal"
Acedia,3kN49IDaIPUQk8lGpAZ3gp,Acedia,473.0,1.0,doom metal
Açelya Akkoyun,7JQidkoQODlWp2PFNqqO9a,Açelya Akkoyun,4.0,0.0,
Açelya Elmas,3uqpvV7PxLUAiCjxYmDt3y,Açelya Elmas,48.0,0.0,
Acid Work,0lvLurtbNCnx9WcxbhDOXx,Acid Work,120.0,0.0,"drone, experimental, glitch"
Acnatro,50ZNmrQ6aYDoAQVjjLX3HS,Acnatro,11724.0,37.0,turkish pop
Acrimony,2pxnGBHxpXFIujVn8oRg37,Acrimony,2707.0,9.0,"stoner metal, stoner rock, sludge metal, doom metal, space rock"
Acrosome,192W25y4CLblS3VMcRJFKQ,Acrosome,403.0,0.0,"black metal, acid rock"
Across the Wall,5UgBJHLyJjWgePTuZzH0zV,Across The Wall,62.0,0.0,
Ada Erma,340OkE5lUbyGDs5bAw5AVL,Ada Erma,3.0,0.0,
Adam Roberts,6Kxh0UWU5GqiZviL54ytkQ,Adam Roberts,10.0,0.0,
adem gülşen,4O451fwRejPpKixBsYj9uh,Adem Gülşen,73.0,7.0,
adem karabey,3wx5IGuk5H8DstZZPlU27R,Adem Karabey,637.0,1.0,
Adem Kodalak,0c5J7OcoXRpSURScmyexFl,Adem Kodalak,7387.0,23.0,"karadeniz folk, oyun havasi"
adem sevinç,33YSlJKYsSXiABjiO8vDIR,Adem Sevinç,26.0,0.0,karadeniz folk
adile kurt karatepe,0C18oWJn42wUG5RoB0aqGY,Adile Kurt Karatepe,1630.0,3.0,
Adile Naşit,0qSUglQQnn0JZcQUXe4arF,Adile Naşit,3481.0,24.0,
adnan çoban,6cGNX3yTl7PNRzlbbwOl3u,Adnan Çoban,407.0,5.0,
adnan fırat,6MQdW6H60npL8SwACXonnJ,Adnan Fırat,223.0,3.0,arabesk
adnan karaduman,65FBHuZ3LMucZdCHpAqLyL,Adnan Karaduman,311.0,2.0,
adnan kisaç,5yBptWsM0J3j0ccnAQW1En,Adnan Kisac,4.0,3.0,
Adnan Koç,52T6lyGxzWcos0cjurEBkT,Adnan Koç,357.0,1.0,traditional music
adnan mungan,6Yv1Q2Jjv24N0RtuQCfRSq,Adnan Mungan,216.0,1.0,
Adnan Pekak,5hsVs2uUvdhNvGWh8l8BoZ,Adnan Pekak,98.0,0.0,arabesk
adnan şeker,77t05itwg1TCOM0UXMFBFU,Adnan Seker,2.0,0.0,
adnan yavuzer,4nMYLDzPLIQVbgrMQfC6wX,Adnan Yavuzer,1094.0,15.0,arabesk
Adytum,20hqfpHlcXzibvfSZBtSbw,Adytum,87.0,0.0,black metal
Aegnor,23sivZkATzLYmfB5J27bvQ,Aegnor,42.0,6.0,
Aeon Void,2NHDVRUYAo1uvuWZs2kgH6,Aeon Void,24.0,0.0,
Aerro,1pJzB49ODjAOHUBRtKQK6A,Aerro,7603.0,44.0,"turkish hip hop, turkish pop"
afel,0uUf0uwMWqfJ0iTeNgWoUk,Afel,1584.0,13.0,turkish hip hop
aferim,1qULuTPvfiQ4SDw9WqVCrE,Aferim,4.0,0.0,
afet serenay,55WLqattap0tagRsBj6xx4,Afet Serenay,458.0,2.0,anatolian rock
Affliction,0436oHPRKl3lRmVBw5YY32,Affliction,7194.0,15.0,hardcore
afgan,4cgBCGxtlfap2g6jveB7du,Afgan,3710557.0,68.0,"indonesian pop, malay, indonesian r&b"
Afi Ares,3X7MpzGDpMYliLysCGcsxL,Afi Ares,269.0,0.0,turkish hip hop
afra,4TofTRvEUQsznrSPnYnHx9,Afra,129707.0,55.0,turkish pop
Afrikalı Ali,0hDueKmHWkwEaQEceJj36w,Afrikalı Ali,84.0,0.0,
Ağaçkesen,6xIhSf5Z6AWfbQyXZQggsa,Ağaçkesen,74.0,0.0,
Against Decay,4V9Y7RRJjDVxi6JMMuvAmF,Against Decay,300.0,1.0,
Age Reform,6pfkUG0nPtD6EpW9SKKoOb,Age Reform,233.0,0.0,"acid house, witch house"
Agency,5KANYu21k8lWz2Hw42qf5i,Agency,191.0,0.0,
