isim,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres
Adnan Tunalı,,,,,
Ahmet Hoşsöyler,2OjPkm0A8kqIpERqdune4L,Ahmet Hoşsöyler,8.0,0.0,arabesk
Ahmet Çadırcı,,,,,
Ali Çifteci,28G3UKIeIl3xxTqt9FFfCM,Leòn Ali Çifteci,1.0,0.0,
Ali Özgentürk,,,,,
Ali Şen,2isp7DhIXCT8SVrzXogFXs,Ali Şen,5.0,0.0,
Alper Atak,3uDzqJdKQwqnH0OQD00RXd,Alper Atakan,2292.0,30.0,turkish pop
Altan Gördüm,0cuaQjKGnITWgWghXI955F,Altan Gördüm,6.0,0.0,
Anatolik,,,,,
Antitakva,,,,,
Arif Keskiner,,,,,
Ayhan Sonyürek,,,,,
Ayhan Taş,0QNnqQ4i5p9DP3uXo6USQd,Ayhan Taş,9.0,0.0,
Aytaç Arman,,,,,
Açelya Akkoyun,7JQidkoQODlWp2PFNqqO9a,Açelya Akkoyun,4.0,0.0,
Bahadır Boysal,5vIi37QmhRfw4ykQsaxX5Z,Bahadır,36374.0,32.0,"oyun havasi, arabesk, turkish pop"
Banu Sıvacı,,,,,
Banu Ölmez,,,,,
Barış Baran,5QzKgefohUG3ICXpoT67Ra,Barış Baran,1069.0,9.0,turkish hip hop
Bayhan,7yiLonxrJVgZKSbjo0gh6V,Bayhan,277612.0,52.0,"arabesk, turkish pop, turkish hip hop"
Bilal İnci,,,,,
Can Etili,5VKVQfx2KEr4MsSfL9SEE9,Can Etili,1174.0,3.0,arabesk
Caner Cindoruk,02HmN3IQe6lV8Cya9JRbvq,Caner Cindoruk,14.0,0.0,
Celal İnce,6iYEpOX1rs6ZhJQ7vstI4M,Celal İnce,2244.0,8.0,tango
Cemil Şahbaz,,,,,
Cengis Temuçin Asiltürk,,,,,
Cengiz Sezici,,,,,
Cenk Çelik,5UE5Xf8fx4jBFwnK1b94pf,Cenk Çelik,237.0,18.0,"oyun havasi, arabesk"
Cihan Ercan,,,,,
Cihangir Ceyhan,,,,,
Classlog,3JKGUQMIMQ235Rz23I1qdb,Classlog,291.0,1.0,turkish hip hop
Cumhur Sarı,6rPlzcNq19USNkenshFwbM,Cumhur,2675.0,15.0,"anatolian rock, turkish pop"
Dirty,5Apl0wL4OwNUDYkx69rMDQ,Dirty Loops,248482.0,43.0,"jazz funk, jazz fusion"
Djanan Turan,67YEGYsuLrrQ4AzqMjBdpG,Djanan Turan,585.0,6.0,
Dolunay Soysert,6k0iraunNvYyHlIDnZtnED,Dolunay Soysert,33.0,0.0,
Doğu Akdeniz,0eqazJWEUS8d2FJPuEHNn3,Doğu Akdeniz,31.0,0.0,
Emel Tümer,6r5Vj3DJwRNxYPjclpq4am,Emel,1281.0,44.0,
Erdal Cindoruk,,,,,
Erkan Meriç,,,,,
Erman Konuklu,,,,,
Erol Afşin,,,,,
Faruk Panter,,,,,
Ferit Aktuğ,,,,,
Fester Abdü,,,,,
Fuego,7wU2WGCJ8HxkekHHE2QLul,Fuego,290679.0,59.0,"trap latino, reggaeton"
Fırat Sobutay,3afAbjkUPnCsSoL7PLIrL1,Fırat Sobutay,9358.0,21.0,anatolian rock
Gazanfer Ündüz,,,,,
Gökalp Dilci,,,,,
Görkem Sevindik,,,,,
Gülsen Tuncer,4he1VqUQVVWKVr3ByKUbpP,Gülsen Tuncer,27.0,0.0,
Güven Şengil,1yDD7XRFTWSCeCAC2HUU1P,Güven,1373.0,20.0,
Haci Tekbilek,1pyTmhCuoii1Mubg2jPt4h,Haci Tekbilek,42.0,0.0,
Hakkı Kıvanç,,,,,
Hasan Isakkut,6aw8JqeYin4u3v0s75gXEJ,Hasan Isakkut,1927.0,22.0,sufi
Hatice Yakar,2isszsqGLNPbuyIYHNO5dc,Hatice,264.0,22.0,turkish pop
Hcany,1KbwtCqYKHiCRmWsZDE0uO,Hcany,430.0,10.0,turkish hip hop
Hüseyin Akşen,,,,,
Jülide Kural,,,,,
KC,5p7mWeX4RlvqBCxylfiXdE,KC Rebell,1201387.0,63.0,german hip hop
Kemal Uçar,3X2B9Wof04TgunaE9lrrvk,Kemal Uçar,15.0,0.0,turkish pop
Krvestreb,,,,,
Kötü Örnek,04LrbqDa6g8Nfghs7xvFV0,Kötü Örnek,844.0,11.0,turkish hip hop
Kıvanç Tatlıtuğ,52WolnIrgfMcmInzEGfOQ1,Kıvanç Tatlıtuğ,401.0,1.0,
La Petite mort,11ytE6YbnJH5nLp2am9wt6,La Petite Mort,98.0,0.0,
Levent Özdilek,0ImuTigzZmnWE4k36I2OrZ,Levent Özdilek,0.0,0.0,
Lil Ba2,50inKCbZMnGk99c6GyWsfd,Lil Ba2,201.0,0.0,turkish hip hop
Loray,7j3RdpQ2QADMiBFHf3VKIT,Loray,175.0,1.0,
Mahmut Hekimoğlu,,,,,
Mahsun Karaca,,,,,
Mehmet Avcı,60Ldt7uBpqw6Gjc4TkGe1y,Mehmet Avcı,14.0,0.0,
Mehmet Dinler,,,,,
Melek Görgün,,,,,
Melis Babadağ,,,,,
Menderes Samancılar,,,,,
Metin Yücel,,,,,
Mine Koldaş,,,,,
Morbivod,,,,,
Münir Can Cindoruk,,,,,
Mürüvvet Kekilli,71nRgmFZIT1jUPFvfXuUMg,Mürüvvet Kekilli,672.0,5.0,"anatolian rock, arabesk"
Necip Memili,,,,,
Nihat Ziyalan,0xczZsUOdhyXMFLzQ94VXj,Nihat Ziyalan,1.0,1.0,
Nurgül Bayram,,,,,
Orhan Kemal,12NiSEp8hKtqqTQPUpgSHk,Orhan Kemal,5084.0,23.0,"arabesk, oyun havasi"
Orhan Şanlıel,,,,,
Osman Betin,,,,,
Oğuz Yalçın,4bOgBVHhzzSkXGr8lsEX9v,Oğuz Yalçın,13.0,0.0,
Pickaxe,3Cc3Cbv6PGfTdEOlmVBm9j,Pickaxe,2.0,0.0,
Recep Bilginer,,,,,
Retired Virgin,,,,,
Roupen Altiparmakian,1MA0NxIYf6DsGC3QV5iqP0,Roupen Altiparmakian,32.0,1.0,
Ruşan Filiztek,5LCxSieGMrd714Wp9h40Hs,Rusan Filiztek,1571.0,11.0,ethiopian jazz
Rıza Akın,,,,,
Salih Bolat,,,,,
Salih Güney,,,,,
Sebahat Adalar,,,,,
Selahattin Sarıkaya,1r1LjtkDm8dyTlg016iMK0,Selahattin Sarıkaya,140.0,0.0,anatolian rock
Seray Gözler Yeniay,,,,,
Serhan Kelleözü,,,,,
Serhan Çeliker,,,,,
Serkan Turhan,,,,,
Süleyman Kabaali,,,,,
Tafoni,3a2i6JtfwRncwW8u9HBesW,Tafoni,634.0,7.0,turkish hip hop
Tanju Tuncel,,,,,
Timur Savcı,,,,,
Timuçin Esen,38OJtnrt1FutcT30EskS9T,Timuçin Esen,23435.0,34.0,arabesk
Tufan Güner,,,,,
TİLT,6Izo6Ha6yGiWtADfgBsvXz,TİLT,687.0,6.0,
Uğur İzgi,,,,,
Yağmur Aydan,,,,,
Yaşar Bayram Gül,50AOA3aPd6tc928KEYaljF,Yaşar,893656.0,58.0,turkish pop
Yaşar Seriner,50AOA3aPd6tc928KEYaljF,Yaşar,893656.0,58.0,turkish pop
Yeviduki,192blwd4PQAcdmdQ9qr6iH,Yeviduki,167.0,9.0,
Yusuf Baymaz,,,,,
Yılmaz Duru,7McCIMlrXDcWQsCTHDMoNq,Yılmaz Duru,1.0,0.0,anatolian rock
Yılmaz Şerif,,,,,
Zeliha Kendirci,1tj04w94VsrbwmTDVdqgGf,Zeliha Kendirci,4838.0,27.0,turkish pop
Ömer Can,,,,,
Özgür Meriç,,,,,
Özlem Onursal,,,,,
İrfan Atasoy,,,,,
Şahika Tekand,,,,,
Şahin Sarsu,,,,,
Şener Şen,53grfXN2haKI3kKRVSMk5o,Sener Sen,36.0,0.0,
Թաթուլ Ալթունյան[Tatul Altunyan],,,,,
Devrim Evin,,,,,
Hamit Yıldırım,,,,,
Kadim Ayin,,,,,
Kahtalı Mıçı,5cL3Qpb6hksODyYXeehTZ8,Kahtalı Mıçı,927.0,6.0,"arabesk, ghazal"
Sırrı Süreyya Önder,5l3IZLuYiCTW8z0fsIymO8,Sırrı Süreyya Önder,81.0,1.0,
Zeynel Abidin Ağgül,,,,,
Aslıhan Malbora,,,,,
Hüdaverdi Yavuz,,,,,
Nizam Ergüden,,,,,
Nurgül Yeşilçay,1b7WDZ5A7BjZxiX8CBWRl2,Nurgül Yeşilçay,40.0,11.0,
Unalterable Objection,368tL1Ug7KYuMcuDYAOwhE,Unalterable Objection,18.0,0.0,
Yücel Çakmaklı,,,,,
Zeki Yılmaz,1RczMrjH72wTbj8irC30Z3,Zeki Yılmaz,28.0,0.0,
Ömer Sinir,,,,,
Νίκος Στεφανίδης[Nikos Stefanidis],,,,,
CVRTOON,0C8ghBg2hWBx6I81NeNoIp,CVRTOON,99662.0,43.0,
Hozan Serhad,4ZyiQKhn1dYBVPiBHkyiNQ,Hozan Serhad,40563.0,37.0,
Nejla Demirci,,,,,
Nizamettin Ariç,6XxbQrjSFoBBDj54cn6ZXd,Nizamettin Ariç,18855.0,21.0,
Salih Kalyon,,,,,
Tekin Girgin,,,,,
Yusuf Çetin,35mjEaODJAUQ5HVZwUyNBN,Yusuf Çetinkaya,161.0,9.0,arabesk
Çayan Karataş,,,,,
Çağlayan Neyman,6z5LOKPoOll2mbBqsQrMqp,Çağla,165962.0,60.0,"turkish pop, arabesk"
Ömer Polat,2QiXt3SdNynBsHgbiGYAW0,Ömer Polatoğlu,1.0,0.0,
Şahê Bedo,7xD3PtnXEsJeqsPtJ3N3si,Bedo,408846.0,55.0,"turkish hip hop, turkish pop"
Şakiro,6ufkKbsdhpVF31W1rKIdrN,Şakiro,101988.0,37.0,arabesk
Ali Fuat Kalkan,,,,,
Anıl Emre Daldal,5MHG3bmjGh0aqT8hS3nPzS,Anıl Emre Daldal,396130.0,55.0,
Asım Yücesoy,,,,,
Elif Baysal,,,,,
Fatma Aydoğan,4jdsLmV5iC9cgEf0lnMvs8,Fatma Aydoğan,4859.0,21.0,"arabesk, karadeniz folk"
Mehmet Barış Günger,,,,,
Muharrem Gürses,5KepFSuuTy6pm45KdZv6CV,Muharrem Gürses,0.0,0.0,
Nihâl Erkutun,,,,,
Yakup Yavru,,,,,
Çağlar Çorumlu,2VtNBVHhA9nA0OuySYiFF9,Çağlar Çorumlu,6.0,0.0,
Şencan Güleryüz,,,,,
Şule Güleç,0GiCXdW2kIQez8yY4Qhdmp,Şule Güleç,89.0,2.0,"arabesk, turkish pop"
A Ghost in Seoul,,,,,
A-Tek,5Y6Cxw1AJ2k6SgskFrSlSU,A-Tek,152.0,0.0,
A. Taner Elhan,2Vk5T8IS4okkJ58II2Umcr,Taner,31593.0,31.0,turkish pop
A.Ş.K. Trio,,,,,
Abdullah Firat,,,,,
Accursed,356awqxICch0mFoHgwhF2A,Accursed,421.0,2.0,"melodic death metal, death metal"
Adalet Ağaoğlu,,,,,
Afazi,,,,,
Against Decay,4V9Y7RRJjDVxi6JMMuvAmF,Against Decay,300.0,1.0,
Ahmet Fuat Onan,,,,,
Ahmet Haluk Ünal,,,,,
Ahmet Melih Yılmaz,,,,,
Ahmet Mümtaz Taylan,,,,,
Ahmet Saraçoğlu,3qDXZUBLJUj0MbiHSva68C,Ahmet Saraçoğlu,217.0,0.0,
Ahmet Sönmez,5hiMxM4swvD5wyF1Bk8TXF,Ahmet Sönmez,81.0,0.0,
Ahmet Tansu Taşanlar,,,,,
Airfax,,,,,
Al'York,6ccuxnLDexwjjnCZbrdGtD,Al'york,4484.0,5.0,
Aleem Bilal,1cCkoczPcHzIotDgE7M3XP,Aleem Bilal,0.0,0.0,
Ali Barkın,,,,,
Ali İpin,,,,,
Almila Bagriacik,4Pzg99ejlQ5oDqKeilOfvK,Almila,194.0,9.0,
Alp Aslan,3bV5wCQTZbfwsd3SMh9qdA,Alp Aslan,548.0,0.0,
Alp Korkmaz,,,,,
Alper Babayağmur,,,,,
Alper Yıldırım,0MwVxArZdp27rk5djm69zK,Alper Yıldırım,126.0,0.0,experimental jazz
Alper Çağlar,,,,,
Alperen Duymaz,7jeeCQcdSqIX9NfmkBTtsU,Alperen,8088.0,22.0,
Alphan Dikmen,,,,,
Alphan Eşeli,,,,,
Altan Akışık,,,,,
Andaç Haznedaroğlu,,,,,
Ankara Yaylı Çalgılar Dörtlüsü,,,,,
Anorexia,1hLFppCfgvSTH9C6ftWOoU,Anorexia Nervosa,43131.0,17.0,"black metal, symphonic metal"
Anıl Bilgen,1JVqnPlxNKLWHIY4cV0VPS,Anil Bilgen,26.0,0.0,
Apoplexy,2fLHGIM8ZXONMD7i2umolp,Apoplexy,127.0,0.0,
Aradin Azun,,,,,
