isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Alper Ayyıldız,"Adana, Adana, Turkey",,solo,Adana,2jaVCQfZPwNR2Z7Y7grFdA,105531.0,40.0,turkish hip hop,turkish hip hop,,turkish hip hop
Ayşe Hatun Önal,"Adana, Turkey",,solo,Adana,25yeRs08qswXKKtq0HYTMS,179205.0,47.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Ayşe Tütüncü,"Adana, Adana, Turkey",,solo,Adana,4bIqQ0WRwvBRe5mDvlXXN1,118.0,1.0,anatolian rock,free jazz,,turkish jazz
Biricik,"Adana, Adana, Turkey",,solo,Adana,65JPo2J7wXf1LbaCetjfe9,6393.0,10.0,arabesk,arabesk,,
Erol Büyükburç,"Adana, Adana, Turkey",,solo,Adana,5Mi0CfVFTACW7wclXpIA6G,14420.0,27.0,"anatolian rock, turkish pop","anatolian rock, turkish pop, tango",pop,turkish psych
Ferdi Tayfur,"Adana, Adana, Turkey",,solo,Adana,6WLkcqDXHgfe80TNMH1C5z,1425029.0,57.0,arabesk,arabesk,,arabesk
Feridun Düzağaç,"Adana, Turkey",,solo,Adana,7MZj0XxqxlCZPj6JsMQq0Z,838876.0,46.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
Groza,"Adana, Adana, Turkey",,solo,Adana,4vexLDbfehpgMFreLkeatb,1355.0,13.0,turkish hip hop,black metal,,turkish metal
Halil Koçak,"Adana, Adana, Turkey",,solo,Adana,5HiBBvpQCpaRK0ERq1gqsH,1752.0,20.0,"turkish pop, oyun havasi","turkish pop, oyun havasi",,deep turkish pop
Haluk Levent,"Adana, Turkey",,solo,Adana,1UV3ii5FWWXF3jkZVeA2bb,1621016.0,53.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",rock,"turkish pop, turkish rock"
Merdiven,"Adana, Adana, Turkey",,grup,Adana,4BowcvNyXtXWPryBpwNdM1,2735.0,20.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",metal,
Murat Göğebakan,"Adana, Adana, Turkey",,solo,Adana,2TUYtKan3NuDy9JexzL4db,363112.0,54.0,"arabesk, anatolian rock","arabesk, anatolian rock",,"arabesk, turkish folk"
Murat Kekilli,"Adana, Turkey",,solo,Adana,1av8oluskzg2mOBajdzRI9,232909.0,44.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",rock,"turkish pop, turkish rock, turkish folk"
Mustafa Sağyaşar,"Adana, Adana, Turkey",,solo,Adana,6aFHolZoQY3n1lCzSytssg,17357.0,23.0,arabesk,arabesk,sanat müziği,
Nurhan Damcıoğlu,"Karaisalı, Adana, Turkey",,solo,Adana,771VjzTUZjO5uV9Qe2yiRH,2814.0,21.0,"oyun havasi, turkish pop, anatolian rock","oyun havasi, turkish pop, anatolian rock",,
Salman Tin,"Adana, Adana, Turkey",,solo,Adana,539RbtR2AVUYdmHQZjLL6m,31353.0,54.0,turkish pop,turkish pop,,turkish singer-songwriter
Selahattin Özdemir,"Adana, Adana, Turkey",,solo,Adana,6EwIOKoGaVIAo8nNAD0BKq,99196.0,34.0,arabesk,arabesk,arabesk,arabesk
Seyhan Karabay,"Adana, Adana, Turkey",,solo,Adana,2rOyRGF4pN0VF2z8Hr8NB2,1198.0,11.0,anatolian rock,anatolian rock,rock,
Taladro,"Adana, Adana, Turkey",,solo,Adana,2ShoGcsu8kekluGvbggGKQ,1144378.0,56.0,"turkish hip hop, arabesk","turkish hip hop, arabesk",,turkish hip hop
Yaşar,"Adana, Adana, Turkey",,solo,Adana,50AOA3aPd6tc928KEYaljF,891921.0,59.0,turkish pop,"turkish pop, arabesk, oyun havasi",pop,turkish pop
Zafer Dilek,"Adana, Adana, Turkey",,solo,Adana,16haAKwdzQGlVMQJlQydLP,6867.0,23.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",,turkish psych
Zehra Sabah,"Adana, Adana, Turkey",,solo,Adana,0p1vxbabW8GGexJxBSg2uA,826.0,0.0,arabesk,arabesk,,
Şahin Kendirci,"Adana, Adana, Turkey",,solo,Adana,4y2dYEsfWCKxncn9nsUdcY,30963.0,29.0,"arabesk, oyun havasi","arabesk, oyun havasi",,arabesk
Ali Tekintüre,"Besni, Adıyaman, Turkey",,solo,Adıyaman,2IIMcq3R5ethW6WC9K44mJ,9571.0,17.0,arabesk,arabesk,,arabesk
Latif Doğan,"Adıyaman, Adıyaman, Turkey",,solo,Adıyaman,43kI5nP3x70CtCm0gTRdcf,87799.0,38.0,"arabesk, oyun havasi","arabesk, oyun havasi",,arabesk
Mehmet Ünal,"Adıyaman, Adıyaman, Turkey",,solo,Adıyaman,7D96D7AKlBWbsoqtDEUeaj,107.0,0.0,turkish pop,idm,,
Emre Fel,"Amasya, Amasya, Turkey",,solo,Amasya,1kRAeenoDZ5jBdzboZQuKa,681675.0,61.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish singer-songwriter
Göknur,"Amasya, Turkey",,solo,Amasya,1LKpWOqpTukifNper5c1qp,120.0,21.0,arabesk,arabesk,,deep turkish pop
Sadık Gürbüz,"Amasya, Amasya, Turkey",,solo,Amasya,0xjC2mnCxPqhpdMLCurUhU,16446.0,18.0,anatolian rock,anatolian rock,halk,turkish folk
Ahiyan,"Ağrı, Ağrı, Turkey","Ankara, Ankara, Turkey",solo,Ankara,0U8sdaBYsYld98xOIX1nYB,249543.0,57.0,turkish hip hop,turkish hip hop,,turkish hip hop
Akrep Nalan,"Ankara, Ankara, Turkey",,solo,Ankara,2TGC73pOQvqpbwxQcCTBho,11634.0,31.0,turkish pop,turkish pop,"halk, pop",
Alpay,"Ankara, Ankara, Turkey",,solo,Ankara,54dXUQ28NmpBHImIXjRsUg,67716.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Ankaralı Turgut,"Ankara, Ankara, Turkey",,solo,Ankara,6FwhwuxGyBiySLyTPit632,52943.0,32.0,"oyun havasi, arabesk","oyun havasi, arabesk","halk, arabesk",arabesk
Ankaralı Yasemin,"Çankaya, Ankara, Turkey",,solo,Ankara,7LV6zJEDmlEDBdCWtY0NGn,20570.0,30.0,"oyun havasi, arabesk","oyun havasi, arabesk",,arabesk
Aspova,"Ankara, Ankara, Turkey",,solo,Ankara,2sjnyyL9NXijL3Fr2eLikf,412197.0,51.0,turkish hip hop,turkish hip hop,,turkish hip hop
Atilla Yelken,"İstanbul, İstanbul, Turkey","Ankara, Turkey",solo,Ankara,3xbh2Avzz7tXJgRJwOsGfv,691.0,0.0,anatolian rock,anatolian rock,,turkish psych
Attila Özdemiroğlu,"Ankara, Ankara, Turkey",,solo,Ankara,4fhrR5Y5QTrIfcYVExMoX0,42.0,0.0,anatolian rock,anatolian rock,pop,
Aydın Tansel,"Ankara, Turkey",,solo,Ankara,55VsQYE34nvDeQhYNB6naZ,2697.0,6.0,"anatolian rock, turkish pop",,,
Baneva,"Konya, Konya, Turkey","Ankara, Ankara, Turkey",solo,Ankara,19YsBPYDyAmKbcFoor4W4e,93267.0,48.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Barlas,"Ankara, Ankara, Turkey",,solo,Ankara,7svcr7IGuCyKZYwilzgx4n,527.0,16.0,turkish pop,"g-house, slap house",,
