isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Eminem,"Sürmene, Trabzon, Turkey",,Trabzon,solo,7dGJo4pcD2V6oG8kP0tJRR,Eminem,107609740.0,88.0,"rap, hip hop","rap, hip hop","rap, pop, hip hop",
sezen aksu,,,,,64d1rUxfizSAOE9UbMnUZd,sezen aksu,14371911.0,71.0,"arabesk, turkish pop","arabesk, turkish pop",pop,turkish pop
müslüm gürses,,,,,4cMwyqmHCwJjRZ3frIVHTr,müslüm gürses,9734855.0,66.0,arabesk,arabesk,"halk, arabesk, pop, rock",arabesk
Tını,"Adana, Adana, Turkey",,Adana,grup,7vXDAI8JwjW531ouMGbfcp,TINI,9451340.0,75.0,latin pop,latin pop,,
ahmet kaya,,,,,1Y2FwScblyMxpLTrNdfwyU,ahmet kaya,7597217.0,68.0,"arabesk, anatolian rock","arabesk, anatolian rock",,
duman,,,,,6RTC1abMgBC7Krg6qJQHJh,duman,7584873.0,64.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
ezhel,,,,,6LnJKrtFnTEGdbWQ2riWCL,ezhel,7109230.0,67.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop","trap, rap, pop","turkish trap, turkish hip hop"
uzi,,,,,51DevdOxIJin6DB1FXJpD1,uzi,6969070.0,77.0,"turkish hip hop, drill",melodic rap,rock,turkish trap
blok3,,,,,1GMwSpFzrLd12jUX15bHB6,blok3,6572128.0,76.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,
semicenk,,,,,1CcZoULzFHa8Uhwo6OlQcp,semicenk,6287249.0,71.0,"turkish pop, arabesk, turkish hip hop","turkish pop, arabesk, turkish hip hop",,turkish pop
divine,,,,,4Ai0pGz6GhQavjzaRhPTvz,DIVINE,6190411.0,64.0,"hindi hip hop, desi hip hop, punjabi hip hop, punjabi pop","hindi hip hop, desi hip hop, punjabi hip hop, punjabi pop",,
Sade,"Ankara, Ankara, Turkey",,Ankara,grup,47zz7sob9NUcODy0BTDvKx,Sade,5529663.0,78.0,,"mariachi, música mexicana",,
mabel matiz,,,,,1dpqJqIuNqideTvmxBsSku,mabel matiz,5498768.0,65.0,turkish pop,turkish pop,,turkish pop
sagopa kajmer,,,,,1KXTegXtnCPKXjRaX1llcD,sagopa kajmer,5450617.0,66.0,"turkish hip hop, rap","turkish hip hop, rap",rap,"turkish trap, turkish hip hop"
ceza,,,,,28Qbi9jTj2eej21P2mImZI,ceza,5245766.0,60.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
lvbel c5,,,,,0V2oXYR7DtrZAEFeILRW2r,lvbel c5,5177422.0,76.0,"turkish hip hop, drill, turkish pop","turkish hip hop, drill, turkish pop",rap,"turkish trap, turkish hip hop"
ebru gündeş,,,,,5AboYJAlMb9FGadTTDKRoN,ebru gündeş,4317240.0,69.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish pop, arabesk, turkish folk"
gazapizm,,,,,2boacFGRX1WIo7NFS8B0F2,gazapizm,4216388.0,62.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,turkish hip hop
tarkan,,,,,2yMN0IP20GOaN6q0p0zL5k,tarkan,4065672.0,71.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
ati242,,,,,6bGOmNBU1AOgttgOjh0ldf,ati242,4035597.0,72.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
yildiz tilbe,,,,,4525TiJDbBD4mZJ7EZArT0,yildiz tilbe,3969300.0,65.0,"arabesk, turkish pop","arabesk, turkish pop",,
cem adrian,,,,,2AWUCT9xtcvkjpFq1ZgpPj,cem adrian,3775421.0,60.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish rock, turkish singer-songwriter"
afgan,,,,,4cgBCGxtlfap2g6jveB7du,Afgan,3710557.0,68.0,"indonesian pop, malay, indonesian r&b","indonesian pop, malay, indonesian r&b",,
no.1,,,,,4fR3W8XFXsqHB8f8IqEr1y,no.1,3694104.0,64.0,turkish hip hop,,r&b,turkish hip hop
neşet ertaş,,,,,1afML5pJuVr3ye8TGyYcV2,neşet ertaş,3266525.0,53.0,"arabesk, oyun havasi, karadeniz folk, anatolian rock","arabesk, oyun havasi, karadeniz folk, anatolian rock",halk,turkish folk
Emir Can İğrek,"Çerkezköy, Tekirdağ, Turkey",,Tekirdağ,solo,4XP7cGw4t8BqZ8Du5q3bHg,Emir Can İğrek,3236935.0,62.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
emir,,,,,4XP7cGw4t8BqZ8Du5q3bHg,emir,3233736.0,63.0,turkish pop,turkish pop,,turkish pop
Paradox,"İzmir, İzmir, Turkey",,İzmir,grup,3fWcIRZlzhMl2YNACMvHui,Paradox,3218983.0,59.0,"hindi hip hop, desi hip hop, punjabi hip hop, punjabi pop",,,
reynmen,,,,,1Fg19vpUJpAAPFjnKaVYVW,reynmen,3206093.0,60.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,"turkish pop, turkish hip hop"
Dolu Kadehi Ters Tut,"İstanbul, İstanbul, Turkey",,İstanbul,grup,0PhqM7UAxtvWYi5j4MwxSl,Dolu Kadehi Ters Tut,3173398.0,64.0,,,"alternatif, rock","turkish rock, turkish alt-pop"
cakal,,,,,6CPZWzcKiOKkHn4L2XI4i2,cakal,3123449.0,63.0,"turkish hip hop, drill","turkish hip hop, drill",rap,
barış manço,,,,,3eVuump9qyK0YCQQo4mKbc,barış manço,3098032.0,61.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk","rock, latin","turkish rock, turkish psych"
İbrahim Tatlıses,"Şanlıurfa, Şanlıurfa, Turkey",,Şanlıurfa,solo,0gPgE6wLLiPnrakh9WcsdQ,İbrahim Tatlıses,3091333.0,67.0,"arabesk, oyun havasi, turkish pop",,,
sefo,,,,,1ITjgqpqMDJlqZGAK3mlPQ,sefo,3021738.0,62.0,"turkish hip hop, turkish pop",,reggae,turkish trap
ben fero,,,,,2kS0jWMkkFBL0mrl0VotD0,ben fero,3004179.0,58.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
yüzyüzeyken konuşuruz,,,,,7gobcoscOfsY0nOeqqFzvU,yüzyüzeyken konuşuruz,2962761.0,61.0,turkish pop,turkish pop,"indie, folk",turkish rock
şebnem ferah,,,,,74xBVPWYoSf5pvo5IkePRO,şebnem ferah,2773492.0,68.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
