isim,wikidata_id,dogum_yeri,cinsiyet,muzik_turu,Spotify_ID
4YKT,Q137604260,,,elektronik müzik,0tfGkevJaUdxoGcjaaM6J7
Abdullah Balak,Q16104814,Şanlıurfa,erkek,,
Abdullah Ekşioğlu,Q4665981,Almanya,erkek,,
Abdullah Oğuz,Q4666047,İstanbul,erkek,,
Abdullah Papur,Q317727,Divriği,erkek,,
Abdullah Yüce,Q6093516,Eyüpsultan,erkek,,5agejBFWnrViLJ1ORkIvLJ
Abdurrahman Kızılay,Q6077992,Kerkük,erkek,,
Abdülkadir Töre,Q6094084,Kaşgar,erkek,,
Abdülvahit Küzecioğlu,Q109392412,Kerkük,erkek,,
Acar Akalın,Q6016800,Lefkoşa,erkek,,
Aclan Büyüktürkoğlu,Q4674294,,erkek,,
Adam İlhan,Q95888206,,erkek,,
Adem Belek,Q114626292,,erkek,,
Adem Göçer,Q133458104,Yazıyolu,erkek,,
Adem Kılıç,Q17045877,Trabzon,erkek,,
Adil Arslan,Q357122,Tunceli,erkek,,
Adil Şan,Q22342319,Bayır-Bucak,erkek,,
Adnan Ataman,Q119167399,Üsküdar,erkek,,
Adnan Ergil,Q97229754,Ankara,erkek,,
Adnan Güler,Q106188958,,erkek,,
Adnan Köse,Q359393,Dinslaken,erkek,,
Adnan Varveren,Q28354878,Bursa,erkek,,
Adnan Şenses,Q176190,Gaziantep,erkek,,3cVYOxG4nq0Grh5er8ZKkk
Agop Topuzyan,Q130218973,Konstantinopolis,erkek,,
Ahmed Celaleddin Baykara,Q20474374,Gelibolu,erkek,,
Ahmed Nihad Osmanoğlu,Q2666876,İstanbul,erkek,,
Ahmet Adnan Saygun,Q401118,İzmir,erkek,"opera, senfoni",
Ahmet Akkaya,Q23920498,Mersin,erkek,elektronik müzik,
Ahmet Alim Efendi,Q97320251,Manisa,erkek,,
Ahmet Aslan,Q401766,Hozat,erkek,çağdaş halk müziği,
Ahmet Beyler,Q31190067,,erkek,,
Ahmet Danyal Topatan,Q1165245,Tarsus,erkek,,
Ahmet Demircioğlu,Q130629523,İstanbul,erkek,,
Ahmet Enes,Q17430632,Erzurum,erkek,pop müzik,
Ahmet Ertegün,Q352760,İstanbul,erkek,caz,
Ahmet Faik Şener,Q97219859,Gemlik,erkek,,
Ahmet Fehim,Q4696169,İstanbul,erkek,,
Ahmet Güngör,Q116616075,Pazar,erkek,,
Ahmet Güvenç,Q4696172,Ankara,erkek,,
Ahmet Hatipoğlu,Q130216409,Burdur,erkek,,
Ahmet Hoşsöyler,Q12808321,Adana,erkek,,
Ahmet Katıksız,Q21523923,Keşan,erkek,,
